business_postal_code,population ,avg_income,inspection_id,inspection_date,inspection_score,risk_category,Neighborhoods,Current Police Districts
94127,20624,95313,2808_20190103,January,74.0,High Risk,67.0,10.0
94127,20624,95313,741_20190128,January,87.0,Moderate Risk,46.0,10.0
94127,20624,95313,587_20180131,January,88.0,Moderate Risk,46.0,10.0
94127,20624,95313,5797_20170926,September,98.0,Low Risk,63.0,10.0
94127,20624,95313,3260_20180320,March,94.0,Low Risk,68.0,10.0
94127,20624,95313,3677_20190918,September,90.0,Low Risk,72.0,9.0
94127,20624,95313,3678_20170920,September,94.0,Moderate Risk,72.0,9.0
94127,20624,95313,5797_20170209,February,92.0,Moderate Risk,63.0,10.0
94127,20624,95313,17723_20180222,February,84.0,Low Risk,117.0,9.0
94127,20624,95313,1950_20180924,September,92.0,Moderate Risk,46.0,10.0
94127,20624,95313,19138_20170302,March,89.0,Low Risk,68.0,10.0
94127,20624,95313,1702_20171130,November,73.0,Low Risk,46.0,10.0
94127,20624,95313,17723_20181212,December,69.0,Moderate Risk,117.0,9.0
94127,20624,95313,4542_20171206,December,91.0,Low Risk,46.0,10.0
94127,20624,95313,37482_20190109,January,85.0,Low Risk,46.0,10.0
94127,20624,95313,38798_20161005,October,96.0,Low Risk,95.0,9.0
94127,20624,95313,1702_20171130,November,73.0,Moderate Risk,46.0,10.0
94127,20624,95313,1700_20190128,January,96.0,Low Risk,46.0,10.0
94127,20624,95313,60484_20180111,January,86.0,Low Risk,46.0,10.0
94127,20624,95313,1702_20180911,September,86.0,Moderate Risk,46.0,10.0
94127,20624,95313,2808_20190710,July,70.0,Moderate Risk,67.0,10.0
94127,20624,95313,60484_20181101,November,81.0,Low Risk,46.0,10.0
94127,20624,95313,3678_20170920,September,94.0,Low Risk,72.0,9.0
94127,20624,95313,3260_20170523,May,96.0,Low Risk,68.0,10.0
94127,20624,95313,38798_20170928,September,94.0,Low Risk,95.0,9.0
94127,20624,95313,5796_20170209,February,87.0,Low Risk,63.0,10.0
94127,20624,95313,38798_20161005,October,96.0,Low Risk,95.0,9.0
94127,20624,95313,587_20181203,December,70.0,Moderate Risk,46.0,10.0
94127,20624,95313,2808_20190710,July,70.0,Low Risk,67.0,10.0
94127,20624,95313,1702_20171130,November,73.0,Moderate Risk,46.0,10.0
94127,20624,95313,37482_20190109,January,85.0,High Risk,46.0,10.0
94127,20624,95313,2808_20190103,January,74.0,Low Risk,67.0,10.0
94127,20624,95313,2808_20190103,January,74.0,High Risk,67.0,10.0
94127,20624,95313,60484_20181101,November,81.0,Moderate Risk,46.0,10.0
94127,20624,95313,3677_20180718,July,94.0,Moderate Risk,72.0,9.0
94127,20624,95313,17723_20180222,February,84.0,Low Risk,117.0,9.0
94127,20624,95313,17723_20181212,December,69.0,Moderate Risk,117.0,9.0
94127,20624,95313,5796_20180209,February,94.0,Low Risk,63.0,10.0
94127,20624,95313,1950_20171115,November,90.0,Moderate Risk,46.0,10.0
94127,20624,95313,17723_20181212,December,69.0,Moderate Risk,117.0,9.0
94127,20624,95313,70838_20180111,January,81.0,Low Risk,46.0,10.0
94127,20624,95313,68159_20170913,September,75.0,Moderate Risk,72.0,9.0
94127,20624,95313,68159_20180725,July,88.0,Moderate Risk,72.0,9.0
94127,20624,95313,71909_20190830,August,82.0,Moderate Risk,95.0,9.0
94127,20624,95313,70838_20181025,October,90.0,Moderate Risk,46.0,10.0
94127,20624,95313,68159_20170913,September,75.0,Moderate Risk,72.0,9.0
94127,20624,95313,68257_20170914,September,94.0,Low Risk,72.0,9.0
94127,20624,95313,70434_20180111,January,90.0,Moderate Risk,46.0,10.0
94127,20624,95313,70838_20180111,January,81.0,Moderate Risk,46.0,10.0
94127,20624,95313,71909_20190220,February,88.0,Low Risk,95.0,9.0
94127,20624,95313,71909_20190830,August,82.0,Moderate Risk,95.0,9.0
94127,20624,95313,71909_20161005,October,86.0,Low Risk,95.0,9.0
94127,20624,95313,71909_20161005,October,86.0,Moderate Risk,95.0,9.0
94127,20624,95313,71909_20190830,August,82.0,Low Risk,95.0,9.0
94127,20624,95313,69259_20171130,November,96.0,Moderate Risk,46.0,10.0
94127,20624,95313,70838_20180111,January,81.0,Low Risk,46.0,10.0
94127,20624,95313,71909_20190220,February,88.0,Low Risk,95.0,9.0
94127,20624,95313,69217_20180830,August,92.0,Moderate Risk,46.0,10.0
94127,20624,95313,68159_20180725,July,88.0,Low Risk,72.0,9.0
94127,20624,95313,70838_20181025,October,90.0,Moderate Risk,46.0,10.0
94127,20624,95313,68159_20180725,July,88.0,Low Risk,72.0,9.0
94127,20624,95313,71909_20171213,December,92.0,Low Risk,95.0,9.0
94127,20624,95313,70434_20181011,October,89.0,Moderate Risk,46.0,10.0
94127,20624,95313,68257_20170914,September,94.0,Moderate Risk,72.0,9.0
94127,20624,95313,68159_20170913,September,75.0,Moderate Risk,72.0,9.0
94127,20624,95313,71909_20190830,August,82.0,Low Risk,95.0,9.0
94127,20624,95313,71909_20161005,October,86.0,Low Risk,95.0,9.0
94127,20624,95313,65265_20180904,September,96.0,Moderate Risk,110.0,7.0
94127,20624,95313,71909_20190830,August,82.0,Low Risk,95.0,9.0
94127,20624,95313,71909_20190220,February,88.0,Low Risk,95.0,9.0
94127,20624,95313,69217_20180830,August,92.0,Moderate Risk,46.0,10.0
94127,20624,95313,70838_20181025,October,90.0,Low Risk,46.0,10.0
94127,20624,95313,68159_20180725,July,88.0,Moderate Risk,72.0,9.0
94127,20624,95313,71909_20171213,December,92.0,Low Risk,95.0,9.0
94127,20624,95313,71909_20171213,December,92.0,Low Risk,95.0,9.0
94127,20624,95313,68159_20170913,September,75.0,High Risk,72.0,9.0
94127,20624,95313,70434_20180111,January,90.0,Low Risk,46.0,10.0
94127,20624,95313,68159_20170913,September,75.0,Low Risk,72.0,9.0
94127,20624,95313,71909_20190220,February,88.0,Moderate Risk,95.0,9.0
94127,20624,95313,65265_20171109,November,96.0,Moderate Risk,110.0,7.0
94127,20624,95313,71909_20190830,August,82.0,Moderate Risk,95.0,9.0
94127,20624,95313,70434_20181011,October,89.0,High Risk,46.0,10.0
94127,20624,95313,71909_20161005,October,86.0,Moderate Risk,95.0,9.0
94127,20624,95313,70838_20180111,January,81.0,High Risk,46.0,10.0
94127,20624,95313,68159_20170913,September,75.0,Moderate Risk,72.0,9.0
94127,20624,95313,71909_20171213,December,92.0,Low Risk,95.0,9.0
94127,20624,95313,70434_20180111,January,90.0,Moderate Risk,46.0,10.0
94127,20624,95313,70838_20180111,January,81.0,Moderate Risk,46.0,10.0
94127,20624,95313,71909_20190220,February,88.0,Low Risk,95.0,9.0
94105,2058,88976,1652_20190611,June,96.0,Low Risk,32.0,1.0
94105,2058,88976,34411_20190913,September,98.0,Low Risk,30.0,1.0
94105,2058,88976,67510_20190829,August,77.0,Low Risk,32.0,1.0
94105,2058,88976,67510_20180221,February,79.0,Low Risk,32.0,1.0
94105,2058,88976,409_20170627,June,83.0,Low Risk,32.0,1.0
94105,2058,88976,64454_20190625,June,80.0,High Risk,108.0,6.0
94105,2058,88976,3858_20180501,May,92.0,Low Risk,32.0,1.0
94105,2058,88976,3082_20180124,January,90.0,Low Risk,108.0,6.0
94105,2058,88976,39667_20190501,May,89.0,Moderate Risk,108.0,6.0
94105,2058,88976,7534_20171207,December,96.0,Low Risk,108.0,6.0
94105,2058,88976,39708_20170620,June,80.0,High Risk,108.0,1.0
94105,2058,88976,13623_20180622,June,75.0,High Risk,32.0,1.0
94105,2058,88976,39053_20190501,May,96.0,Moderate Risk,32.0,1.0
94105,2058,88976,3409_20190128,January,77.0,Low Risk,108.0,1.0
94105,2058,88976,3963_20181126,November,94.0,Low Risk,108.0,1.0
94105,2058,88976,62889_20190710,July,94.0,Moderate Risk,32.0,1.0
94105,2058,88976,2996_20190711,July,72.0,High Risk,30.0,1.0
94105,2058,88976,1487_20190610,June,96.0,Low Risk,32.0,1.0
94105,2058,88976,4598_20170124,January,90.0,Low Risk,108.0,1.0
94105,2058,88976,39667_20170912,September,82.0,Moderate Risk,108.0,6.0
94105,2058,88976,38201_20190305,March,91.0,Low Risk,32.0,1.0
94105,2058,88976,22304_20170313,March,94.0,Moderate Risk,108.0,6.0
94105,2058,88976,39824_20190130,January,81.0,Moderate Risk,32.0,1.0
94105,2058,88976,3484_20190829,August,92.0,Moderate Risk,108.0,1.0
94105,2058,88976,18616_20190305,March,87.0,High Risk,32.0,1.0
94105,2058,88976,39667_20170308,March,83.0,Low Risk,108.0,6.0
94105,2058,88976,15738_20190613,June,80.0,High Risk,32.0,1.0
94105,2058,88976,9652_20180222,February,89.0,Moderate Risk,32.0,1.0
94105,2058,88976,2135_20190515,May,92.0,Moderate Risk,108.0,1.0
94105,2058,88976,1487_20180125,January,90.0,Moderate Risk,32.0,1.0
94105,2058,88976,7467_20170118,January,88.0,Moderate Risk,32.0,1.0
94105,2058,88976,3484_20170321,March,92.0,Moderate Risk,108.0,1.0
94105,2058,88976,24431_20171213,December,92.0,Low Risk,32.0,1.0
94105,2058,88976,34434_20170125,January,92.0,Moderate Risk,32.0,1.0
94105,2058,88976,61602_20170330,March,90.0,Low Risk,32.0,1.0
94105,2058,88976,1672_20190627,June,88.0,Low Risk,108.0,1.0
94105,2058,88976,2818_20180308,March,96.0,Low Risk,108.0,6.0
94105,2058,88976,60475_20190304,March,76.0,High Risk,108.0,1.0
94105,2058,88976,389_20170316,March,96.0,Moderate Risk,108.0,6.0
94105,2058,88976,38611_20170105,January,78.0,High Risk,32.0,1.0
94105,2058,88976,3200_20170601,June,90.0,Moderate Risk,108.0,6.0
94105,2058,88976,64454_20190625,June,80.0,High Risk,108.0,6.0
94105,2058,88976,1939_20161214,December,98.0,Low Risk,32.0,6.0
94105,2058,88976,34749_20181016,October,90.0,Low Risk,32.0,1.0
94105,2058,88976,3859_20190221,February,81.0,High Risk,32.0,1.0
94105,2058,88976,34434_20170602,June,75.0,Low Risk,32.0,1.0
94105,2058,88976,18120_20190515,May,83.0,High Risk,32.0,1.0
94105,2058,88976,1269_20180904,September,92.0,Moderate Risk,108.0,1.0
94105,2058,88976,3409_20170523,May,76.0,High Risk,108.0,1.0
94105,2058,88976,4746_20170629,June,79.0,Low Risk,108.0,1.0
94105,2058,88976,39053_20180504,May,90.0,Moderate Risk,32.0,1.0
94105,2058,88976,24431_20170112,January,96.0,Low Risk,32.0,1.0
94105,2058,88976,34411_20180820,August,90.0,Low Risk,30.0,1.0
94105,2058,88976,2996_20190711,July,72.0,Moderate Risk,30.0,1.0
94105,2058,88976,13623_20190625,June,90.0,Low Risk,32.0,1.0
94105,2058,88976,35592_20190729,July,87.0,Low Risk,108.0,1.0
94105,2058,88976,1672_20171004,October,86.0,Moderate Risk,108.0,1.0
94105,2058,88976,9652_20190606,June,85.0,High Risk,32.0,1.0
94105,2058,88976,17689_20190416,April,86.0,Moderate Risk,32.0,1.0
94105,2058,88976,3405_20190417,April,90.0,Moderate Risk,32.0,6.0
94105,2058,88976,519_20171212,December,91.0,Low Risk,32.0,6.0
94105,2058,88976,2132_20170928,September,85.0,Low Risk,108.0,6.0
94105,2058,88976,61623_20180427,April,94.0,Low Risk,108.0,6.0
94105,2058,88976,35592_20190228,February,84.0,Moderate Risk,108.0,1.0
